"","sample","Annotation_of_cell_types","Annotation_of_cell_types_sample","condition","genotype"
"B cells_KO","KO","B cells","B cells_KO","untreated","KO"
"B cells_KO-MNU-1","KO-MNU-1","B cells","B cells_KO-MNU-1","treated","KO"
"B cells_KO-MNU-2","KO-MNU-2","B cells","B cells_KO-MNU-2","treated","KO"
"B cells_WT","WT","B cells","B cells_WT","untreated","WT"
"B cells_WT-MNU-1","WT-MNU-1","B cells","B cells_WT-MNU-1","treated","WT"
"B cells_WT-MNU-2","WT-MNU-2","B cells","B cells_WT-MNU-2","treated","WT"
"CCR7 and DCs_KO","KO","CCR7 and DCs","CCR7 and DCs_KO","untreated","KO"
"CCR7 and DCs_KO-MNU-1","KO-MNU-1","CCR7 and DCs","CCR7 and DCs_KO-MNU-1","treated","KO"
"CCR7 and DCs_KO-MNU-2","KO-MNU-2","CCR7 and DCs","CCR7 and DCs_KO-MNU-2","treated","KO"
"CCR7 and DCs_WT","WT","CCR7 and DCs","CCR7 and DCs_WT","untreated","WT"
"CCR7 and DCs_WT-MNU-1","WT-MNU-1","CCR7 and DCs","CCR7 and DCs_WT-MNU-1","treated","WT"
"CCR7 and DCs_WT-MNU-2","WT-MNU-2","CCR7 and DCs","CCR7 and DCs_WT-MNU-2","treated","WT"
"CD4 or CD8_KO","KO","CD4 or CD8","CD4 or CD8_KO","untreated","KO"
"CD4 or CD8_KO-MNU-1","KO-MNU-1","CD4 or CD8","CD4 or CD8_KO-MNU-1","treated","KO"
"CD4 or CD8_KO-MNU-2","KO-MNU-2","CD4 or CD8","CD4 or CD8_KO-MNU-2","treated","KO"
"CD4 or CD8_WT","WT","CD4 or CD8","CD4 or CD8_WT","untreated","WT"
"CD4 or CD8_WT-MNU-1","WT-MNU-1","CD4 or CD8","CD4 or CD8_WT-MNU-1","treated","WT"
"CD4 or CD8_WT-MNU-2","WT-MNU-2","CD4 or CD8","CD4 or CD8_WT-MNU-2","treated","WT"
"DC1_KO","KO","DC1","DC1_KO","untreated","KO"
"DC1_KO-MNU-1","KO-MNU-1","DC1","DC1_KO-MNU-1","treated","KO"
"DC1_KO-MNU-2","KO-MNU-2","DC1","DC1_KO-MNU-2","treated","KO"
"DC1_WT","WT","DC1","DC1_WT","untreated","WT"
"DC1_WT-MNU-1","WT-MNU-1","DC1","DC1_WT-MNU-1","treated","WT"
"DC1_WT-MNU-2","WT-MNU-2","DC1","DC1_WT-MNU-2","treated","WT"
"endothelial cells and stromal cells_KO","KO","endothelial cells and stromal cells","endothelial cells and stromal cells_KO","untreated","KO"
"endothelial cells and stromal cells_KO-MNU-1","KO-MNU-1","endothelial cells and stromal cells","endothelial cells and stromal cells_KO-MNU-1","treated","KO"
"endothelial cells and stromal cells_KO-MNU-2","KO-MNU-2","endothelial cells and stromal cells","endothelial cells and stromal cells_KO-MNU-2","treated","KO"
"endothelial cells and stromal cells_WT","WT","endothelial cells and stromal cells","endothelial cells and stromal cells_WT","untreated","WT"
"endothelial cells and stromal cells_WT-MNU-1","WT-MNU-1","endothelial cells and stromal cells","endothelial cells and stromal cells_WT-MNU-1","treated","WT"
"endothelial cells and stromal cells_WT-MNU-2","WT-MNU-2","endothelial cells and stromal cells","endothelial cells and stromal cells_WT-MNU-2","treated","WT"
"gamma delta T cells_KO","KO","gamma delta T cells","gamma delta T cells_KO","untreated","KO"
"gamma delta T cells_KO-MNU-1","KO-MNU-1","gamma delta T cells","gamma delta T cells_KO-MNU-1","treated","KO"
"gamma delta T cells_KO-MNU-2","KO-MNU-2","gamma delta T cells","gamma delta T cells_KO-MNU-2","treated","KO"
"gamma delta T cells_WT","WT","gamma delta T cells","gamma delta T cells_WT","untreated","WT"
"gamma delta T cells_WT-MNU-1","WT-MNU-1","gamma delta T cells","gamma delta T cells_WT-MNU-1","treated","WT"
"gamma delta T cells_WT-MNU-2","WT-MNU-2","gamma delta T cells","gamma delta T cells_WT-MNU-2","treated","WT"
"ILC2_KO","KO","ILC2","ILC2_KO","untreated","KO"
"ILC2_KO-MNU-1","KO-MNU-1","ILC2","ILC2_KO-MNU-1","treated","KO"
"ILC2_KO-MNU-2","KO-MNU-2","ILC2","ILC2_KO-MNU-2","treated","KO"
"ILC2_WT","WT","ILC2","ILC2_WT","untreated","WT"
"ILC2_WT-MNU-1","WT-MNU-1","ILC2","ILC2_WT-MNU-1","treated","WT"
"ILC2_WT-MNU-2","WT-MNU-2","ILC2","ILC2_WT-MNU-2","treated","WT"
"Macrophage_KO","KO","Macrophage","Macrophage_KO","untreated","KO"
"Macrophage_KO-MNU-1","KO-MNU-1","Macrophage","Macrophage_KO-MNU-1","treated","KO"
"Macrophage_KO-MNU-2","KO-MNU-2","Macrophage","Macrophage_KO-MNU-2","treated","KO"
"Macrophage_WT","WT","Macrophage","Macrophage_WT","untreated","WT"
"Macrophage_WT-MNU-1","WT-MNU-1","Macrophage","Macrophage_WT-MNU-1","treated","WT"
"Macrophage_WT-MNU-2","WT-MNU-2","Macrophage","Macrophage_WT-MNU-2","treated","WT"
"Mast cells_KO","KO","Mast cells","Mast cells_KO","untreated","KO"
"Mast cells_KO-MNU-1","KO-MNU-1","Mast cells","Mast cells_KO-MNU-1","treated","KO"
"Mast cells_KO-MNU-2","KO-MNU-2","Mast cells","Mast cells_KO-MNU-2","treated","KO"
"Mast cells_WT","WT","Mast cells","Mast cells_WT","untreated","WT"
"Mast cells_WT-MNU-1","WT-MNU-1","Mast cells","Mast cells_WT-MNU-1","treated","WT"
"Mast cells_WT-MNU-2","WT-MNU-2","Mast cells","Mast cells_WT-MNU-2","treated","WT"
"Mast cells-2_KO","KO","Mast cells-2","Mast cells-2_KO","untreated","KO"
"Mast cells-2_KO-MNU-1","KO-MNU-1","Mast cells-2","Mast cells-2_KO-MNU-1","treated","KO"
"Mast cells-2_KO-MNU-2","KO-MNU-2","Mast cells-2","Mast cells-2_KO-MNU-2","treated","KO"
"Mast cells-2_WT","WT","Mast cells-2","Mast cells-2_WT","untreated","WT"
"Mast cells-2_WT-MNU-1","WT-MNU-1","Mast cells-2","Mast cells-2_WT-MNU-1","treated","WT"
"Mast cells-2_WT-MNU-2","WT-MNU-2","Mast cells-2","Mast cells-2_WT-MNU-2","treated","WT"
"Monocyte_KO","KO","Monocyte","Monocyte_KO","untreated","KO"
"Monocyte_KO-MNU-1","KO-MNU-1","Monocyte","Monocyte_KO-MNU-1","treated","KO"
"Monocyte_KO-MNU-2","KO-MNU-2","Monocyte","Monocyte_KO-MNU-2","treated","KO"
"Monocyte_WT","WT","Monocyte","Monocyte_WT","untreated","WT"
"Monocyte_WT-MNU-1","WT-MNU-1","Monocyte","Monocyte_WT-MNU-1","treated","WT"
"Monocyte_WT-MNU-2","WT-MNU-2","Monocyte","Monocyte_WT-MNU-2","treated","WT"
"NK cell_KO","KO","NK cell","NK cell_KO","untreated","KO"
"NK cell_KO-MNU-1","KO-MNU-1","NK cell","NK cell_KO-MNU-1","treated","KO"
"NK cell_KO-MNU-2","KO-MNU-2","NK cell","NK cell_KO-MNU-2","treated","KO"
"NK cell_WT","WT","NK cell","NK cell_WT","untreated","WT"
"NK cell_WT-MNU-1","WT-MNU-1","NK cell","NK cell_WT-MNU-1","treated","WT"
"NK cell_WT-MNU-2","WT-MNU-2","NK cell","NK cell_WT-MNU-2","treated","WT"
"Plasma_KO","KO","Plasma","Plasma_KO","untreated","KO"
"Plasma_KO-MNU-1","KO-MNU-1","Plasma","Plasma_KO-MNU-1","treated","KO"
"Plasma_KO-MNU-2","KO-MNU-2","Plasma","Plasma_KO-MNU-2","treated","KO"
"Plasma_WT","WT","Plasma","Plasma_WT","untreated","WT"
"Plasma_WT-MNU-1","WT-MNU-1","Plasma","Plasma_WT-MNU-1","treated","WT"
"Plasma_WT-MNU-2","WT-MNU-2","Plasma","Plasma_WT-MNU-2","treated","WT"
"Pre-DC2s, DC2s, proDC3s, DC3s_KO","KO","Pre-DC2s, DC2s, proDC3s, DC3s","Pre-DC2s, DC2s, proDC3s, DC3s_KO","untreated","KO"
"Pre-DC2s, DC2s, proDC3s, DC3s_KO-MNU-1","KO-MNU-1","Pre-DC2s, DC2s, proDC3s, DC3s","Pre-DC2s, DC2s, proDC3s, DC3s_KO-MNU-1","treated","KO"
"Pre-DC2s, DC2s, proDC3s, DC3s_KO-MNU-2","KO-MNU-2","Pre-DC2s, DC2s, proDC3s, DC3s","Pre-DC2s, DC2s, proDC3s, DC3s_KO-MNU-2","treated","KO"
"Pre-DC2s, DC2s, proDC3s, DC3s_WT","WT","Pre-DC2s, DC2s, proDC3s, DC3s","Pre-DC2s, DC2s, proDC3s, DC3s_WT","untreated","WT"
"Pre-DC2s, DC2s, proDC3s, DC3s_WT-MNU-1","WT-MNU-1","Pre-DC2s, DC2s, proDC3s, DC3s","Pre-DC2s, DC2s, proDC3s, DC3s_WT-MNU-1","treated","WT"
"Pre-DC2s, DC2s, proDC3s, DC3s_WT-MNU-2","WT-MNU-2","Pre-DC2s, DC2s, proDC3s, DC3s","Pre-DC2s, DC2s, proDC3s, DC3s_WT-MNU-2","treated","WT"
"Treg (Regulatory T) cell_KO","KO","Treg (Regulatory T) cell","Treg (Regulatory T) cell_KO","untreated","KO"
"Treg (Regulatory T) cell_KO-MNU-1","KO-MNU-1","Treg (Regulatory T) cell","Treg (Regulatory T) cell_KO-MNU-1","treated","KO"
"Treg (Regulatory T) cell_KO-MNU-2","KO-MNU-2","Treg (Regulatory T) cell","Treg (Regulatory T) cell_KO-MNU-2","treated","KO"
"Treg (Regulatory T) cell_WT","WT","Treg (Regulatory T) cell","Treg (Regulatory T) cell_WT","untreated","WT"
"Treg (Regulatory T) cell_WT-MNU-1","WT-MNU-1","Treg (Regulatory T) cell","Treg (Regulatory T) cell_WT-MNU-1","treated","WT"
"Treg (Regulatory T) cell_WT-MNU-2","WT-MNU-2","Treg (Regulatory T) cell","Treg (Regulatory T) cell_WT-MNU-2","treated","WT"
